阿柏克茲亞	阿柏克兹亚
阿里斯託芳	阿里斯托芳
阿里亞斯	阿里亚斯
阿利托	阿利托
阿歷山大	阿历山大
阿列克西斯	阿列克西斯
阿曼蘇丹國	阿曼苏丹国
阿蒙	阿蒙
阿彌陀佛	阿弥陀佛
阿彌陀經	阿弥陀经
阿彌陀如來	阿弥陀如来
阿米巴原蟲	阿米巴原虫
阿米納達布	阿米纳达布
阿孃	阿娘
阿奇里斯	阿奇里斯
阿秋	阿秋
阿熱勒托別	阿热勒托别
阿森松島	阿森松岛
阿什克隆	阿什克隆
阿斯圖里亞斯	阿斯图里亚斯
阿松森島	阿松森岛
阿蘇	阿苏
阿蘇火山	阿苏火山
阿蘇山	阿苏山
阿托品	阿托品
阿瓦里德	阿瓦里德
阿旺曲培	阿旺曲培
阿旺曲沛	阿旺曲沛
阿仙藥	阿仙药
阿咸	阿咸
阿信曲	阿信曲
阿修羅	阿修罗
阿修羅道	阿修罗道
阿葉德	阿叶德
阿意曲從	阿意曲从
阿諛苟合	阿谀苟合
阿雲	阿云
阿紮倫卡	阿扎伦卡
阿扎尼亞	阿扎尼亚
阿芝特剋人	阿芝特克人
阿芝特剋語	阿芝特克语
阿志	阿志
阿朱	阿朱
阿茲海默氏症	阿兹海默氏症
阿茲海默症	阿兹海默症
阿茲海默症病患	阿兹海默症病患
阿滋海默症	阿滋海默症
錒系元素	锕系元素
哀哀欲絕	哀哀欲绝
哀兵必勝	哀兵必胜
哀弔	哀吊
哀莫大於心死	哀莫大于心死
哀悽	哀凄
哀慼	哀戚
哀嘆	哀叹
哀輓	哀挽
唉嘆	唉叹
埃布羅	埃布罗
埃布羅河	埃布罗河
埃德蒙頓	埃德蒙顿
埃夫伯里	埃夫伯里
埃格爾松	埃格尔松
埃及曆	埃及历
埃及歷史	埃及历史
埃及豔后	埃及艳后
埃克托	埃克托
埃克托柏遼茲	埃克托柏辽兹
埃拉托塞尼斯	埃拉托塞尼斯
埃裏溫	埃里温
埃榮衝	埃荣冲
挨挨	挨挨
挨挨蹭蹭	挨挨蹭蹭
挨挨兒	挨挨儿
挨挨搶搶	挨挨抢抢
挨板子	挨板子
挨邊	挨边
挨邊兒	挨边儿
挨捕	挨捕
挨不上	挨不上
挨呲	挨呲
挨呲兒	挨呲儿
挨次	挨次
挨打受罵	挨打受骂
挨打受氣	挨打受气
挨刀的	挨刀的
挨鬥	挨斗
挨餓受凍	挨饿受冻
挨風緝縫	挨风缉缝
挨個	挨个
挨個兒	挨个儿
挨光	挨光
挨棍子	挨棍子
挨戶	挨户
挨擠	挨挤
挨家	挨家
挨家挨戶	挨家挨户
挨肩	挨肩
挨肩擦膀	挨肩擦膀
挨肩擦背	挨肩擦背
挨肩擦臉	挨肩擦脸
挨肩搭背	挨肩搭背
挨肩疊背	挨肩叠背
挨肩兒	挨肩儿
挨近	挨近
挨靠	挨靠
挨門	挨门
挨門挨戶	挨门挨户
挨門逐戶	挨门逐户
挨拿	挨拿
挨鬧	挨闹
挨排	挨排
挨批	挨批
挨親兒	挨亲儿
挨人兒	挨人儿
挨三頂五	挨三顶五
挨山塞海	挨山塞海
挨上去	挨上去
挨身	挨身
挨頭子	挨头子
挨延	挨延
挨着	挨着
捱打	挨打
捱到	挨到
捱得	挨得
捱得住	挨得住
捱餓	挨饿
捱過	挨过
捱過來	挨过来
捱過去	挨过去
捱飢抵餓	挨饥抵饿
捱苦	挨苦
捱了	挨了
捱了過來	挨了过来
捱了過去	挨了过去
捱了揍	挨了揍
捱罵	挨骂
捱滿	挨满
捱磨	挨磨
捱日子	挨日子
捱三頂四	挨三顶四
捱上	挨上
捱時間	挨时间
捱整	挨整
捱揍	挨揍
癌症	癌症
癌症病患	癌症病患
癌症腫瘤	癌症肿瘤
欸乃曲	欸乃曲
矮冬瓜	矮冬瓜
矮桿品種	矮杆品种
矮個	矮个
矮個兒	矮个儿
矮個子	矮个子
矮几	矮几
矮了	矮了
矮了半截	矮了半截
矮了一截	矮了一截
矮子裏拔將軍	矮子里拔将军
藹彩	蔼彩
艾布拉莫維奇	艾布拉莫维奇
艾布蘭	艾布兰
艾達克	艾达克
艾德蒙頓	艾德蒙顿
艾德蒙斯	艾德蒙斯
艾迴	艾回
艾克爾	艾克尔
艾克雷史東	艾克雷史东
艾克曼	艾克曼
艾克森	艾克森
艾克森美孚	艾克森美孚
艾克斯	艾克斯
艾里賽宮	艾里赛宫
艾里森	艾里森
艾里斯	艾里斯
艾里西	艾里西
艾里西湖	艾里西湖
艾里西湖鎮	艾里西湖镇
艾里亞森	艾里亚森
艾力克	艾力克
艾力克斯	艾力克斯
艾倫圖克	艾伦图克
艾彌爾	艾弥尔
艾米里	艾米里
艾瑞克	艾瑞克
艾瑞克森	艾瑞克森
艾瑞里	艾瑞里
艾瑞斯托	艾瑞斯托
艾賽克斯	艾赛克斯
艾斯托利爾	艾斯托利尔
艾萬斯	艾万斯
艾維斯普里斯萊	艾维斯普里斯莱
艾希克羅	艾希克罗
愛彼錶	爱彼表
愛別離苦	爱别离苦
愛才	爱才
愛才好士	爱才好士
愛才如命	爱才如命
愛才若渴	爱才若渴
愛抽菸	爱抽烟
愛德蒙	爱德蒙
愛惡分明	爱恶分明
愛管閒事	爱管闲事
愛睏	爱困
愛樂樂團	爱乐乐团
愛了	爱了
愛裏	爱里
愛麗捨宮	爱丽舍宫
愛麗絲漫遊奇境記	爱丽丝漫游奇境记
愛麗絲夢遊記	爱丽丝梦游记
愛彌兒	爱弥儿
愛面子	爱面子
愛莫大於心死	爱莫大于心死
愛念	爱念
愛情裏	爱情里
愛情征服一切	爱情征服一切
愛心彩券	爱心彩券
愛心刮刮樂	爱心刮刮乐
愛幸	爱幸
愛遊玩	爱游玩
愛慾	爱欲
愛遠惡近	爱远恶近
愛在心裏	爱在心里
愛之適足以害之	爱之适足以害之
愛之欲其生惡之欲其死	爱之欲其生恶之欲其死
礙面子	碍面子
礙難照准	碍难照准
礙於	碍于
礙於情面	碍于情面
安布羅斯	安布罗斯
安步當車	安步当车
安地卡及巴布達	安地卡及巴布达
安格魯薩克遜	安格鲁萨克逊
安胡	安胡
安魂彌撒	安魂弥撒
安魂曲	安魂曲
安吉里科	安吉里科
安傑	安杰
安可曲	安可曲
安克拉	安克拉
安克拉治	安克拉治
安克雷奇	安克雷奇
安了	安了
安眠藥	安眠药
安納托利亞	安纳托利亚
安欽雲	安钦云
安全防範	安全防范
安全系統	安全系统
安全係數	安全系数
安仁鬢秋	安仁鬓秋
安薩里	安萨里
安山岩	安山岩
安瀋鐵路	安沈铁路
安適	安适
安適如常	安适如常
安胎藥	安胎药
安提瓜和巴布達	安提瓜和巴布达
安萬特	安万特
安席克	安席克
安閒愜意	安闲惬意
安閒舒適	安闲舒适
安閒隨意	安闲随意
安閒自得	安闲自得
安閒自在	安闲自在
安營紮寨	安营扎寨
安於	安于
安於泰山	安于泰山
安於現狀	安于现状
安於一隅	安于一隅
安岳	安岳
安扎	安扎
桉葉油	桉叶油
氨基甲酸酯類化合物	氨基甲酸酯类化合物
庵兒	庵儿
庵觀	庵观
庵寺	庵寺
庵堂	庵堂
庵主	庵主
菴藹	庵蔼
菴菴	庵庵
菴婪	庵婪
菴廬	庵庐
菴羅樹園	庵罗树园
菴舍	庵舍
諳歷	谙历
按表操課	按表操课
按出	按出
按出來	按出来
按出去	按出去
按回	按回
按回來	按回来
按回去	按回去
按計劃	按计划
按扣	按扣
按了	按了
按理出牌	按理出牌
按時間先後	按时间先后
按下不表	按下不表
按需出版	按需出版
按照計劃	按照计划
按照字面	按照字面
按質定價	按质定价
案板	案板
案發	案发
案發後	案发后
案發前	案发前
案發時	案发时
案几	案几
案據	案据
案卷	案卷
案頭櫃	案头柜
案准	案准
暗藹	暗蔼
暗暗	暗暗
暗暗淡淡	暗暗淡淡
暗堡	暗堡
暗邊	暗边
暗部	暗部
暗藏	暗藏
暗藏春色	暗藏春色
暗藏鬼胎	暗藏鬼胎
暗藏玄機	暗藏玄机
暗藏着	暗藏着
暗操賤業	暗操贱业
暗察明訪	暗察明访
暗娼	暗娼
暗場	暗场
暗潮	暗潮
暗潮洶湧	暗潮汹涌
暗沉	暗沉
暗喫一驚	暗吃一惊
暗處	暗处
暗忖	暗忖
暗袋	暗袋
暗淡	暗淡
暗淡無光	暗淡无光
暗澹	暗澹
暗到	暗到
暗道	暗道
暗得	暗得
暗地	暗地
暗地裏	暗地里
暗的	暗的
暗底下	暗底下
暗電流	暗电流
暗鬥	暗斗
暗度陳倉	暗度陈仓
暗渡陳倉	暗渡陈仓
暗反應	暗反应
暗房	暗房
暗訪	暗访
暗諷	暗讽
暗付	暗付
暗槓	暗杠 暗槓
暗格	暗格
暗公鳥	暗公鸟
暗溝	暗沟
暗溝裏	暗沟里
暗管	暗管
暗光鳥	暗光鸟
暗害	暗害
暗含	暗含
暗號	暗号
暗號燈	暗号灯
暗合	暗合
暗河	暗河
暗盒	暗盒
暗褐	暗褐
暗褐色	暗褐色
暗黑	暗黑
暗黑王	暗黑王
暗紅	暗红
暗紅色	暗红色
暗花兒	暗花儿
暗灰色	暗灰色
暗疾	暗疾
暗計	暗计
暗記	暗记
暗記兒	暗记儿
暗記在心	暗记在心
暗間兒	暗间儿
暗箭	暗箭
暗箭明鎗	暗箭明鎗
暗箭難防	暗箭难防
暗箭傷人	暗箭伤人
暗箭中人	暗箭中人
暗礁	暗礁
暗叫	暗叫
暗叫一聲	暗叫一声
暗結珠胎	暗结珠胎
暗井	暗井
暗九	暗九
暗釦	暗扣 暗釦
暗了	暗了
暗了下來	暗了下来
暗裏	暗里
暗練	暗练
暗戀	暗恋
暗流	暗流
暗樓子	暗楼子
暗碼	暗码
暗罵	暗骂
暗門	暗门
暗門子	暗门子
暗念	暗念
暗盤	暗盘
暗盼	暗盼
暗泣	暗泣
暗器	暗器
暗渠	暗渠
暗然失色	暗然失色
暗色	暗色
暗色彩	暗色彩
暗殺	暗杀
暗殺案	暗杀案
暗殺黨	暗杀党
暗傷	暗伤
暗射	暗射
暗射地圖	暗射地图
暗沈沈	暗沈沈
暗示	暗示
暗事	暗事
暗室	暗室
暗室不欺	暗室不欺
暗室逢燈	暗室逢灯
暗室可欺	暗室可欺
暗室虧心	暗室亏心
暗室私心	暗室私心
暗適應	暗适应
暗順應	暗顺应
暗送	暗送
暗送秋波	暗送秋波
暗算	暗算
暗鎖	暗锁
暗灘	暗滩
暗探	暗探
暗歎	暗叹
暗通	暗通
暗通款曲	暗通款曲
暗問	暗问
暗屋	暗屋
暗無天日	暗无天日
暗喜	暗喜
暗下來	暗下来
暗下去	暗下去
暗線	暗线
暗線光譜	暗线光谱
暗香	暗香
暗香疏影	暗香疏影
暗箱	暗箱
暗箱操作	暗箱操作
暗想	暗想
暗巷	暗巷
暗笑	暗笑
暗笑一聲	暗笑一声
暗行	暗行
暗虛	暗虚
暗移	暗移
暗影	暗影
暗湧	暗涌
暗黝	暗黝
暗語	暗语
暗喻	暗喻
暗指	暗指
暗中	暗中
暗中監視	暗中监视
暗中摸索	暗中摸索
暗中行事	暗中行事
暗中作怪	暗中作怪
暗轉	暗转
暗樁	暗桩
暗紫色	暗紫色
暗自	暗自
暗自流淚	暗自流泪
暗自竊喜	暗自窃喜
暗自神傷	暗自神伤
闇火	暗火
闇藍髮	暗蓝发
闇劣	暗劣
闇亂	暗乱
闇倫	暗伦
闇昧	暗昧
闇冥	暗冥
闇莫	暗莫
闇淺	暗浅
闇然	暗然
闇弱	暗弱
闇誦	暗诵
闇跳	暗跳
黯然欲絕	黯然欲绝
骯骯髒髒	肮肮脏脏
骯髒	肮脏
骯髒鬼	肮脏鬼
昂納克	昂纳克
盎格魯撒克遜	盎格鲁撒克逊
盎格魯薩克遜	盎格鲁萨克逊
盎格魯薩克遜人	盎格鲁萨克逊人
盎盂相繫	盎盂相系
凹板	凹板
凹雕	凹雕
凹洞裏	凹洞里
凹面	凹面
凹面鏡	凹面镜
凹凸有致	凹凸有致
敖盪	敖荡
敖力布告	敖力布告
敖遊	敖游
遨遊	遨游
遨遊四海	遨游四海
遨遊天下	遨游天下
熬出	熬出
熬出來	熬出来
熬出頭	熬出头
熬薑呷醋	熬姜呷醋
熬煉	熬炼
熬藥	熬药
熬藥湯	熬药汤
熬製	熬制
翱遊	翱游
翱遊四海	翱游四海
謷醜	謷丑
鰲裏奪尊	鳌里夺尊
鰲頭獨佔	鳌头独占
鼇頭獨占	鼇头独占
拗彆	拗别
拗彆攪炒	拗别搅炒
拗曲作直	拗曲作直
傲睨萬物	傲睨万物
傲世輕才	傲世轻才
傲霜鬥雪	傲霜斗雪
奧拜克	奥拜克
奧布里	奥布里
奧德修斯	奥德修斯
奧迪修斯	奥迪修斯
奧杜伐峽谷	奥杜伐峡谷
奧爾布賴特	奥尔布赖特
奧克拉荷馬	奥克拉荷马
奧克拉荷馬市	奥克拉荷马市
奧克拉荷馬州	奥克拉荷马州 奧克拉荷马州
奧克蘭	奥克兰
奧克蒙	奥克蒙
奧克明	奥克明
奧克斯納德	奥克斯纳德
奧克蘇斯河	奥克苏斯河
奧蘭多布魯	奥兰多布鲁
奧里里亞	奥里里亚
奧里薩	奥里萨
奧里薩邦	奥里萨邦
奧里薩省	奥里萨省
奧里斯	奥里斯
奧林匹克	奥林匹克
奧林匹克精神	奥林匹克精神
奧林匹克日	奥林匹克日
奧林匹克世運	奥林匹克世运
奧林匹克體育場	奥林匹克体育场
奧林匹克運動會	奥林匹克运动会
奧林匹克運動會組織委員會	奥林匹克运动会组织委员会
奧密克戎	奥密克戎
奧妮克西亞	奥妮克西亚
奧士力克	奥士力克
奧陶系	奥陶系
奧特朗托	奥特朗托
奧特朗托海峽	奥特朗托海峡
奧托	奥托
奧托瓦茲	奥托瓦兹
奧萬大	奥万大
奧運團	奥运团
奧佔	奥占
澳門匯業	澳门汇业
澳新軍團	澳新军团
澳新軍團日	澳新军团日
澳洲廣播電臺	澳洲广播电台
八百多萬	八百多万
八百萬	八百万
八表	八表
八步周行	八步周行
八廠	八厂
八出祁山	八出祁山
八齣戲	八出戏
八大胡同	八大胡同
八點鐘	八点钟
八斗	八斗
八斗才	八斗才
八斗陳思	八斗陈思
八斗之才	八斗之才
八斗子	八斗子
八個	八个
八級工資制	八级工资制
八極	八极
八極拳	八极拳
八進制	八进制
八軍團	八军团
八克	八克
八蜡	八蜡
八里	八里
八里鄉	八里乡
八面	八面
八面鋒	八面锋
八面光	八面光
八面見光	八面见光
八面玲瓏	八面玲珑
八面受敵	八面受敌
八面體	八面体
八面威風	八面威风
八面圓通	八面圆通
八秒鐘	八秒钟
八辟	八辟
八旗制度	八旗制度
八千里	八千里
八十天環遊地球	八十天环游地球
八十種好	八十种好
八臺	八台
八天後	八天后
八萬	八万
八萬大藏經	八万大藏经
八萬多	八万多
八萬四千法門	八万四千法门
八萬一千	八万一千
八位元個人電腦	八位元个人电脑
八仙桌上擺夜壺	八仙桌上摆夜壶
八小時工作制	八小时工作制
八小時制	八小时制
八餘	八余
八紮	八扎
八折	八折
八珍鹹粥	八珍咸粥
八隻	八只
八週	八周
八週年	八周年
八字方針	八字方针
八字鬍	八字胡
八字鬍鬚	八字胡须
巴貝克	巴贝克
巴貝西亞原蟲病	巴贝西亚原虫病
巴比布朗	巴比布朗
巴比合金	巴比合金
巴比特合金	巴比特合金
巴別塔	巴别塔
巴布	巴布
巴布狄倫	巴布狄伦
巴布爾	巴布尔
巴布拉族	巴布拉族
巴布亞	巴布亚
巴布亞紐	巴布亚纽
巴布亞紐幾內亞	巴布亚纽几內亚 巴布亚纽几内亚
巴布亞省	巴布亚省
巴布亞新幾內亞	巴布亚新几内亚
巴布延羣島	巴布延群岛
巴斗	巴斗
巴爾貝里尼宮殿	巴尔贝里尼宫殿
巴爾幹	巴尔干
巴爾幹半島	巴尔干半岛
巴爾幹山	巴尔干山
巴爾幹山脈	巴尔干山脉
巴爾克嫩德	巴尔克嫩德
巴爾舍夫斯基	巴尔舍夫斯基
巴爾陶克	巴尔陶克
巴爾贊	巴尔赞
巴爾扎克	巴尔扎克
巴爾札克	巴尔札克
巴胡提	巴胡提
巴尖兒好勝	巴尖儿好胜
巴金森氏症	巴金森氏症
巴克	巴克
巴克霍茲	巴克霍兹
巴克科思	巴克科思
巴克萊	巴克莱
巴克萊銀行	巴克莱银行
巴克雷	巴克雷
巴克禮	巴克礼
巴克利	巴克利
巴克南德	巴克南德
巴克夏豬	巴克夏猪
巴控克什米爾	巴控克什米尔
巴拉克	巴拉克
巴拉松	巴拉松
巴厘島	巴厘岛
巴里	巴里
巴里島	巴里岛
巴里庫廷火山	巴里库廷火山
巴里坤	巴里坤
巴里坤草原	巴里坤草原
巴里坤哈薩克自治縣	巴里坤哈萨克自治县
巴里坤縣	巴里坤县
巴里斯	巴里斯
巴羅克	巴罗克
巴洛克	巴洛克
巴洛克風格	巴洛克风格
巴洛克式	巴洛克式
巴洛克藝術	巴洛克艺术
巴洛馬天文臺	巴洛马天文台
巴馬乾酪	巴马干酪
巴前算後	巴前算后
巴人下里	巴人下里
巴瑞克	巴瑞克
巴舍萊	巴舍莱
巴氏桿菌	巴氏杆菌
巴斯德菌症	巴斯德菌症
巴斯克	巴斯克
巴斯克人	巴斯克人
巴斯克語	巴斯克语
巴斯特納克	巴斯特纳克
巴松管	巴松管
巴托莉	巴托莉
巴托麗	巴托丽
巴音布克草原	巴音布克草原
巴游	巴游
扒出	扒出
芭蕉布	芭蕉布
芭蕾舞團	芭蕾舞团
芭絲克華	芭丝克华
芭托莉	芭托莉
峇峇孃惹	峇峇娘惹
峇里島	峇里岛
笆斗	笆斗
拔不出	拔不出
拔不出腿來	拔不出腿来
拔出	拔出
拔出來	拔出来
拔出去	拔出去
拔萃出類	拔萃出类
拔萃出羣	拔萃出群
拔地參天	拔地参天
拔髮	拔发
拔個	拔个
拔虎鬚	拔虎须
拔回	拔回
拔回來	拔回来
拔回去	拔回去
拔了	拔了
拔了蘿蔔地皮寬	拔了萝卜地皮宽
拔了一個尖兒	拔了一个尖儿
拔蘿蔔	拔萝卜
拔羣出萃	拔群出萃
拔羣出類	拔群出类
拔山曲	拔山曲
拔山志	拔山志
拔圍出夫	拔围出夫
拔鬚	拔须
拔宅飛昇	拔宅飞升
拔宅上昇	拔宅上升
跋胡疐尾	跋胡疐尾
跋前疐後	跋前疐后
跋前躓後	跋前踬后
跋涉千里	跋涉千里
把定了心	把定了心
把飯叫饑	把饭叫饥
把方纔	把方才
把個	把个
把卷	把卷
把了	把了
把臉一板	把脸一板
把你幹	把你干
把上了	把上了
靶臺	靶台
靶臺上	靶台上
罷黜百家獨尊儒術	罢黜百家独尊儒术
罷了	罢了
罷於	罢于
罷於奔命	罢于奔命
霸才	霸才
霸據	霸据
霸陵折柳	霸陵折柳
霸術	霸术
霸王別姬	霸王别姬
霸佔	霸占
霸佔住	霸占住
吧檯	吧台
吧托女	吧托女
掰了	掰了
白斑症	白斑症
白板	白板
白板筆	白板笔
白板單吊	白板单吊
白板天子	白板天子
白變種	白变种
白布	白布
白菜價	白菜价
白搽白折	白搽白折
白當	白当
白刀子進去紅刀子出來	白刀子进去红刀子出来
白得發亮	白得发亮
白堊系	白垩系
白發其事	白发其事
白髮	白发
白髮蒼蒼	白发苍苍
白髮蒼顏	白发苍颜
白髮紅顏	白发红颜
白髮郎潛	白发郎潜
白髮齊眉	白发齐眉
白髮青衫	白发青衫
白髮人	白发人
白髮如新	白发如新
白髮相守	白发相守
白髮銀鬚	白发银须
白髮朱顏	白发朱颜
白粉麪	白粉面
白桿兵	白杆兵
白幹	白干
白古蘇花	白古苏花
白骨松	白骨松
白果松	白果松
白合金	白合金
白鶴梁	白鹤梁
白鶴秀才	白鹤秀才
白喉桿菌	白喉杆菌
白胡椒	白胡椒
白鬍	白胡
白化症	白化症
白殭蠶	白僵蚕
白淨面皮	白净面皮 白淨面皮
白駒空谷	白驹空谷
白卷	白卷
白蠟	白蜡
白蠟蟲	白蜡虫
白蠟杆子	白蜡杆子
白蠟蠟	白蜡蜡
白蠟明經	白蜡明经
白蠟樹	白蜡树
白了了	白了了
白里安	白里安
白裏透紅	白里透红
白蘿蔔	白萝卜
白馬歸周	白马归周
白黴	白霉
白濛濛	白蒙蒙
白面僧面猴	白面僧面猴
白面書郎	白面书郎
白面書生	白面书生
白面無鬚	白面无须
白面鼯鼠	白面鼯鼠
白麪	白面
白麪兒	白面儿
白娘子	白娘子
白皮松	白皮松
白蘋	白苹
白蘋洲	白苹洲
白樸	白朴
白千層	白千层
白乾	白干
白乾兒	白干儿
白日飛昇	白日飞升
白日昇天	白日升天
白色人種	白色人种
白色系	白色系
白首北面	白首北面
白首同歸	白首同归
白朮	白术
白松	白松
白蘇	白苏
白兔搗藥	白兔捣药
白團	白团
白團扇	白团扇
白鬚	白须
白雪公主症候羣	白雪公主症候群
白雪曲	白雪曲
白血球過多症	白血球过多症
白煙	白烟
白洋淀	白洋淀
白藥	白药
白雲	白云
白雲蒼狗	白云苍狗
白雲孤飛	白云孤飞
白雲觀	白云观
白雲機場	白云机场
白雲礦區	白云矿区
白雲母	白云母
白雲片片	白云片片
白雲親舍	白云亲舍
白雲區	白云区
白雲山	白云山
白雲石	白云石
白雲鄉	白云乡
白雲岩	白云岩
白種	白种
白種人	白种人
百不當一	百不当一
百尺竿頭更盡一步	百尺竿头更尽一步
百出	百出
百當	百当
百度表	百度表
百鍛千練	百锻千练
百多隻	百多只
百發	百发
百發百中	百发百中
百分表	百分表
百分之一千	百分之一千
百分制	百分制
百個	百个
百谷王	百谷王
百穀	百谷
百合	百合
百合花	百合花
百合花飾	百合花饰
百合科	百合科
百合子	百合子
百花曆	百花历
百花歷史	百花历史
百花娘子	百花娘子
百劃	百划
百卉千葩	百卉千葩
百匯	百汇
百幾個	百几个
百計千方	百计千方
百計千謀	百计千谋
百計千心	百计千心
百科裏	百科里
百孔千瘡	百孔千疮
百孔千創	百孔千创
百老匯	百老汇
百了	百了
百了千當	百了千当
百里	百里
百里侯	百里侯
百里傒	百里傒
百里香	百里香
百里之才	百里之才
百裏挑一	百里挑一
百鍊	百炼
百鍊成鋼	百炼成钢
百慮一致	百虑一致
百媚千嬌	百媚千娇
百面雷	百面雷
百謀千計	百谋千计
百腦匯	百脑汇
百年好合	百年好合
百年後	百年后
百年之後	百年之后
百念	百念
百辟	百辟
百巧千窮	百巧千穷
百舍重趼	百舍重趼
百舍重繭	百舍重茧
百勝餐飲	百胜餐饮
百勝餐飲集團	百胜餐饮集团
百事和合	百事和合
百歲千秋	百岁千秋
百歲之後	百岁之后
百天後	百天后
百團大戰	百团大战
百萬	百万
百萬噸	百万吨
百萬噸級核武器	百万吨级核武器
百萬分之一	百万分之一
百萬富翁	百万富翁
百萬赫茲	百万赫兹
百萬買宅千萬買鄰	百万买宅千万买邻
百萬年	百万年
百萬位	百万位
百萬雄兵	百万雄兵
百萬雄師	百万雄师
百萬之衆	百万之众
百藥之長	百药之长
百葉	百叶
百葉窗	百叶窗
百葉窗簾	百叶窗帘
百葉捲	百叶卷
百葉箱	百叶箱
百餘	百余
百餘里	百余里
百餘隻	百余只
百紮	百扎
百戰百勝	百战百胜
百折不挫	百折不挫
百折不回	百折不回
百折不撓	百折不挠
百摺裙	百折裙
百隻	百只
百只足夠	百只足够
百中百發	百中百发
百拙千醜	百拙千丑
百姿千態	百姿千态
百子千孫	百子千孙
百紫千紅	百紫千红
百縱千隨	百纵千随
百足不僵	百足不僵
百足蟲	百足虫
百足之蟲	百足之虫
百足之蟲死而不僵	百足之虫死而不僵
百足之蟲至死不僵	百足之虫至死不僵
柏戴克	柏戴克
柏節松操	柏节松操
柏卡里	柏卡里
柏克	柏克
柏克郡	柏克郡
柏克萊	柏克莱
柏克里克千佛洞	柏克里克千佛洞
柏克曼溫度計	柏克曼温度计
柏里斯	柏里斯
柏梁詩	柏梁诗
柏梁臺	柏梁台
柏梁體	柏梁体
柏林劇團	柏林剧团
柏羅米修斯	柏罗米修斯
柏納馬修茲	柏纳马修兹
柏南克	柏南克
柏臺	柏台
柏臺烏府	柏台乌府
擺擺	摆摆
擺擺手	摆摆手
擺擺頭	摆摆头
擺擺搖搖	摆摆摇摇
擺撥	摆拨
擺撥不下	摆拨不下
擺不開	摆不开
擺不平	摆不平
擺不下	摆不下
擺佈	摆布
擺成	摆成
擺出	摆出
擺出來	摆出来
擺出去	摆出去
擺錘	摆锤
擺搭	摆搭
擺當	摆当
擺蕩吊環	摆荡吊环
擺盪	摆荡
擺盪起來	摆荡起来
擺到	摆到
擺得	摆得
擺地攤	摆地摊
擺點	摆点
擺動	摆动
擺動波	摆动波
擺渡	摆渡
擺渡船	摆渡船
擺法	摆法
擺番	摆番
擺飯	摆饭
擺放	摆放
擺放在	摆放在
擺格	摆格
擺供	摆供
擺官架子	摆官架子
擺撼	摆撼
擺好	摆好
擺花架子	摆花架子
擺劃	摆划
擺回	摆回
擺回來	摆回来
擺回去	摆回去
擺架子	摆架子
擺進	摆进
擺進來	摆进来
擺進去	摆进去
擺酒	摆酒
擺酒席	摆酒席
擺開	摆开
擺開陣勢	摆开阵势
擺空架子	摆空架子
擺款	摆款
擺闊	摆阔
擺闊氣	摆阔气
擺來	摆来
擺來擺去	摆来摆去
擺浪子	摆浪子
擺了一道	摆了一道
擺擂臺	摆擂台
擺列	摆列
擺列出	摆列出
擺龍門陣	摆龙门阵
擺露	摆露
擺輪	摆轮
擺落	摆落
擺賣	摆卖
擺滿	摆满
擺忙	摆忙
擺門面	摆门面
擺門子	摆门子
擺明	摆明
